repo	hostname	timestamp	key	used_queries
google	ny4.tannic.net	2010-11-08 18:16:36	1	1
ia	ny4.tannic.net	2010-11-08 18:16:36	1	0
live	ny4.tannic.net	2010-11-08 18:16:36	1	2
yahoo	ny4.tannic.net	2010-11-08 18:16:36	1	2
